code,[ ] uM,log10
AA_M1_S1,111.1111111,2.045757491
AA_M1_S2,11.11111111,1.045757491
AA_M1_S3,1.111111111,0.045757491
AA_M1_S4,0.111111111,-0.954242509
AA_M1_S5,0.011111111,-1.954242509
AA_M2_S1,100,2
AA_M2_S2,10,1
AA_M2_S3,1,0
AA_M2_S4,0.1,-1
AA_M2_S5,0.01,-2
PYR_1mM,1000,3
PYR_100uM,100,2
PYR_10uM,10,1
PYR_1uM,1,0
PYR_01uM,0.01,-2
TCA_1,125,2.096910013
TCA_2,12.5,1.096910013
TCA_3,1.25,0.096910013
TCA_4,0.125,-0.903089987
TCA_5,0.0125,-1.903089987
Lactate_1uM,1,0
Lactate_10uM,10,1
Lactate_100uM,100,2
Lactate_1mM,1000,3
Glucose_01uM,0.1,-1
Glucose_10uM,10,1
Glucose_100uM,100,2
Glucose_1mM,1000,3