metabolite,standard,log10
phenylalanine,AA_M1_S1,9.96565816
phenylalanine,AA_M1_S2,9.013128681
phenylalanine,AA_M1_S3,8.144011924
phenylalanine,AA_M1_S4,7.19917595
phenylalanine,AA_M1_S5,6.149085938
tyrosine,AA_M1_S1,9.614020937
tyrosine,AA_M1_S2,8.785994081
tyrosine,AA_M1_S3,7.960193734
tyrosine,AA_M1_S4,6.986677626
tyrosine,AA_M1_S5,6.017629305
proline,AA_M1_S1,10.22867654
proline,AA_M1_S2,9.332767479
proline,AA_M1_S3,8.454386734
proline,AA_M1_S4,7.466314895
proline,AA_M1_S5,6.457837008
glutamate,AA_M1_S1,9.244224859
glutamate,AA_M1_S2,8.535195121
glutamate,AA_M1_S3,7.694888696
glutamate,AA_M1_S4,6.888448692
glutamate,AA_M1_S5,5.78388108
aspartate,AA_M1_S1,8.611325039
aspartate,AA_M1_S2,7.744126436
aspartate,AA_M1_S3,6.742168907
aspartate,AA_M1_S4,
aspartate,AA_M1_S5,
leucine+isoleucine,AA_M1_S1,9.802254736
leucine+isoleucine,AA_M1_S2,8.973848361
leucine+isoleucine,AA_M1_S3,8.116945669
leucine+isoleucine,AA_M1_S4,7.21584011
leucine+isoleucine,AA_M1_S5,6.520001547
tryptophan,AA_M1_S1,9.863319381
tryptophan,AA_M1_S2,8.95415227
tryptophan,AA_M1_S3,8.069264202
tryptophan,AA_M1_S4,7.141548441
tryptophan,AA_M1_S5,6.033291226
valine,AA_M1_S1,9.598348689
valine,AA_M1_S2,8.783459176
valine,AA_M1_S3,7.961878118
valine,AA_M1_S4,
valine,AA_M1_S5,
histidine,AA_M1_S1,8.122792713
histidine,AA_M1_S2,6.822537426
histidine,AA_M1_S3,
histidine,AA_M1_S4,
histidine,AA_M1_S5,
threonine,AA_M2_S1,9.308544664
threonine,AA_M2_S2,8.491802922
threonine,AA_M2_S3,7.589859693
threonine,AA_M2_S4,6.550367899
threonine,AA_M2_S5,
alanine,AA_M2_S1,9.122372115
alanine,AA_M2_S2,8.322638175
alanine,AA_M2_S3,6.897178095
alanine,AA_M2_S4,
alanine,AA_M2_S5,
glutamine,AA_M2_S1,8.321729536
glutamine,AA_M2_S2,7.277166282
glutamine,AA_M2_S3,5.849568405
glutamine,AA_M2_S4,
glutamine,AA_M2_S5,
serine,AA_M2_S1,8.577807206
serine,AA_M2_S2,7.910105711
serine,AA_M2_S3,7.027923916
serine,AA_M2_S4,5.992688446
serine,AA_M2_S5,
asparagine,AA_M2_S1,8.99624428
asparagine,AA_M2_S2,8.16678475
asparagine,AA_M2_S3,7.373164838
asparagine,AA_M2_S4,6.469903536
asparagine,AA_M2_S5,
glycine,AA_M2_S1,8.343209584
glycine,AA_M2_S2,7.695394103
glycine,AA_M2_S3,6.816170494
glycine,AA_M2_S4,5.816429114
glycine,AA_M2_S5,
methionine,AA_M2_S1,10.00672244
methionine,AA_M2_S2,9.107254235
methionine,AA_M2_S3,8.245033781
methionine,AA_M2_S4,7.254556547
methionine,AA_M2_S5,6.14549794
lysine,AA_M2_S1,8.971217937
lysine,AA_M2_S2,7.826680646
lysine,AA_M2_S3,6.817271829
lysine,AA_M2_S4,6.456765487
lysine,AA_M2_S5,
arginine,AA_M2_S1,9.450344545
arginine,AA_M2_S2,8.681816106
arginine,AA_M2_S3,7.848330014
arginine,AA_M2_S4,7.360956024
arginine,AA_M2_S5,7.283643001
pyruvate,PYR_1mM,9.315240458
pyruvate,PYR_100uM,8.318764185
pyruvate,PYR_10uM,7.240125066
pyruvate,PYR_1uM,5.903549993
pyruvate,PYR_01uM,
malate,TCA_1,9.139938773
malate,TCA_2,8.244496081
malate,TCA_3,7.290198543
malate,TCA_4,6.322605645
malate,TCA_5,
fumarate,TCA_1,8.259301661
fumarate,TCA_2,7.2571776
fumarate,TCA_3,6.00871682
fumarate,TCA_4,
fumarate,TCA_5,
succinate,TCA_1,8.719771243
succinate,TCA_2,7.703112739
succinate,TCA_3,6.732149521
succinate,TCA_4,
succinate,TCA_5,
aKG,TCA_1,8.92943135
aKG,TCA_2,8.098153455
aKG,TCA_3,7.07406013
aKG,TCA_4,5.37495856
aKG,TCA_5,
lactate,Lactate_1uM,6.756301838
lactate,Lactate_10uM,7.737588812
lactate,Lactate_100uM,8.715040283
lactate,Lactate_1mM,9.745328719
glucose,Glucose_01uM,
glucose,Glucose_10uM,5.472537975
glucose,Glucose_100uM,6.576204588
glucose,Glucose_1mM,7.071499141