replicate,rep1,rep1,rep2,rep2,rep3,rep3,rep4,rep4,rep5,rep5
condition,UOK262,UOK262pFH,UOK262,UOK262pFH,UOK262,UOK262pFH,UOK262,UOK262pFH,UOK262,UOK262pFH
Alanine,0.005568031,0.014612455,0.058985811,0.060347684,0.14958479,0.10772056,0.114235456,0.121608412,0.101217237,0.109895908
Arginine,-0.235083973,-0.126536094,0.006830851,-0.020985459,-0.049714489,-0.051747748,-0.069473243,-0.054531836,-0.058366303,-0.084277121
Asparagine,0.000834137,0.000159295,0.000303782,0.003362012,0.000993806,0.002002409,0.000788169,0.002043202,0.000242624,0.001857874
Aspartate,-0.001459452,-0.000187772,0.000426885,0.003573876,-0.002949809,0.000325131,-0.001118251,0.002124842,-0.001538615,0.003013798
Fumarate,0.009656633,0.000515643,0.041571068,0.00565171,0.047128109,0.002757031,0.045948027,0,0.048135112,0
Glucose,-3.112809042,-1.156198916,-1.128364751,-3.196022616,-19.72389427,-5.634488121,-1.615054807,0.643716185,0.454794208,-0.118332841
Glutamate,0.179999964,0.02582155,0.161364896,0.098457558,0.255749797,0.07834143,0.174634616,0.103962644,0.202960112,0.11431789
Glutamine,-1.304115569,-0.678080385,-0.115360367,-0.205689443,-0.400414256,-0.201677876,-0.346675616,-0.234464991,-0.338239207,-0.294908298
Glycine,-0.1264528,-0.075738678,0.023542261,-0.002957551,0.036193333,0.008712382,0.029453211,0.015032319,0.024625628,0.006364223
Histidine,0,0,0.003794744,-0.006890487,-0.039495549,-0.030163633,-0.066406414,-0.033452973,-0.038640829,-0.050260119
Lactate,3.996020523,2.23117547,6.793450833,3.696535174,4.003263399,2.429023659,3.429226176,2.599677658,3.600467628,2.720804712
leucine+isoleucine,-0.625934751,-0.341930724,0.009700535,-0.031518801,-0.179920538,-0.153488136,-0.150244277,-0.094096092,-0.275755564,-0.097659099
Lysine,-0.302904566,-0.176627639,0.032414145,-0.035547345,-0.036745945,-0.064360572,-0.014216304,-0.039937495,-0.058451163,-0.089177422
Malate,0,0,0.000291641,0.000385056,0.000588343,0.003733876,-0.000245072,0.003275313,0.000820255,0.003878838
Methionine,-0.102921738,-0.054740658,0.001433629,-0.009070715,-0.010242232,-0.009642862,-0.007662882,-0.007189328,-0.009538235,-0.012739598
Phenylalanine,-0.194403073,-0.125635107,0.034038015,-0.016527932,-0.011910053,-0.016076603,-0.004927312,-0.002443623,-0.015800681,-0.028005412
Proline,0.007746715,0.000283901,0.009524166,0.005503178,0.022979431,0.010942429,0.022094443,0.012841537,0.021718101,0.011074968
Pyruvate,-0.424286901,-0.279861836,-0.386196015,-1.046174694,-0.778402283,-0.376722477,-0.647604028,-0.469096063,-0.608512978,-0.501229927
Serine,-0.20831026,-0.11787086,-0.050873083,-0.106912211,-0.060739699,-0.044306192,-0.053463196,-0.043234446,-0.055396021,-0.050492167
Succinate,-0.000160362,-0.003621176,0.027274327,5.15485E-05,0.018401519,-0.001515187,0.014487128,0.00172844,0.01069296,-0.002427732
Threonine,-0.251158211,-0.149659761,0.045613498,-0.004356121,-0.099203531,-0.055925012,-0.079701611,-0.039126713,-0.04799206,-0.086166542
Tryptophan,-0.028454611,-0.016887778,0.002793168,-0.005356703,-0.004249642,-0.00440832,-0.003871623,-0.003304056,-0.00425145,-0.006461949
Tyrosine,-0.254863353,-0.149719851,0.051157725,-0.041263691,-0.016696502,-0.011912839,-0.013134168,-0.008456319,-0.012304267,-0.016824693
Valine,-0.323946059,-0.187973212,0.173501619,-0.165643398,-0.05213391,-0.064063076,-0.078567483,-0.046929968,-0.069469663,-0.074508484